Time,berkeley,napa,oakland,palo alto,san francisco,san jose,santa rosa,sonoma,vacaville,Grand Total
10:17:15,3,,5,,11,28,1,,,48
10:17:16,3,,10,1,11,21,1,,1,48
10:17:17,1,,7,,23,10,1,,,42
10:17:18,2,,11,1,12,18,1,1,1,47
10:17:19,4,,7,,9,18,2,,,40
10:17:20,2,,3,2,14,21,1,,,43
10:17:21,,1,12,2,7,21,2,1,,46
10:17:22,2,,4,,11,21,1,,,39
10:17:23,1,2,8,1,14,16,7,,,49
10:17:24,3,1,7,,22,20,2,,,55
10:17:25,2,,13,2,17,23,2,,,59
10:17:26,,1,6,2,20,18,5,,1,53
10:17:27,1,1,8,,12,22,1,,,45
10:17:28,,,5,1,14,21,2,1,2,46
10:17:29,1,2,5,,18,25,3,,1,55
10:17:30,,,8,2,16,16,1,,3,46
10:17:31,1,1,5,3,9,24,2,,1,46
10:17:32,2,,10,1,13,21,,,,47
10:17:33,,4,3,,16,11,,,2,36
10:17:34,1,,7,,14,24,1,,1,48
10:17:35,2,,3,,11,22,2,,1,41
10:17:36,,3,4,2,18,17,3,,2,49
10:17:37,,1,4,2,11,12,1,,,31
10:17:38,,1,8,,13,11,1,,,34
10:17:39,1,1,3,,11,17,,,,33
10:17:40,,,8,3,11,18,1,,1,42
10:17:41,1,3,8,,18,18,3,1,1,53
10:17:42,1,2,9,,20,20,2,,,54
10:17:43,,2,10,,12,22,2,,1,49
10:17:44,3,,17,,14,21,2,1,1,59
10:17:45,1,1,5,1,15,19,,,,42
10:17:46,2,,6,,11,16,5,1,,41
10:17:47,3,,4,,10,14,,1,,32
10:17:48,3,3,9,,17,15,2,,,49
10:17:49,,1,6,1,8,22,,,,38
10:17:50,,2,5,,20,17,1,,,45
10:17:51,3,3,4,1,22,24,3,,,60
10:17:52,3,,3,2,22,20,2,,,52
10:17:53,1,,5,,17,26,1,,,50
10:17:54,1,1,9,1,15,14,2,,,43
10:17:55,,1,10,,21,19,1,,,52
10:17:56,1,1,4,,20,22,3,1,1,53
10:17:57,5,,8,1,20,28,5,1,1,69
10:17:58,2,1,3,,23,27,3,,2,61
10:17:59,,,7,1,15,28,,,,51
10:18:00,,1,5,1,8,15,1,,,31
10:18:01,,1,9,1,11,13,,,,35
10:18:02,2,,5,,17,23,3,,,50
10:18:03,1,1,10,,18,17,4,,,51
10:18:04,4,2,6,1,16,24,5,,,58
10:18:05,,5,7,1,5,14,3,,,35
10:18:06,,1,8,1,14,16,,,,40
10:18:07,1,1,6,1,17,13,,,,39
10:18:08,1,1,17,1,25,15,2,,,62
10:18:09,1,1,12,,9,44,2,,,69
10:18:10,3,,6,,21,29,2,,2,63
10:18:11,2,2,5,,11,30,1,,,51
10:18:12,,1,4,1,15,28,1,,3,53
10:18:13,,5,7,1,11,29,4,1,1,59
10:18:14,2,,7,1,12,34,2,,,58
10:18:15,2,,6,1,14,49,,,2,74
10:18:16,,,13,,10,50,1,,2,76
10:18:17,1,,7,,15,34,1,1,2,61
10:18:18,,,4,,11,37,2,,,54
10:18:19,5,2,9,1,7,22,,3,,49
10:18:20,1,6,12,,13,21,2,,,55
10:18:21,3,4,6,,13,25,,,,51
10:18:22,1,,3,,16,36,2,,,58
10:18:23,2,1,13,,12,28,2,1,2,61
10:18:24,3,,9,1,17,22,1,,,53
10:18:25,3,,2,2,23,20,2,1,,53
10:18:26,4,,14,1,20,17,,,,56
10:18:27,2,1,9,,12,15,3,,,42
10:18:28,,3,8,,29,22,1,,8,71
10:18:29,1,1,2,,20,16,,,1,41
10:18:30,1,2,7,2,11,19,3,,,45
10:18:31,1,1,7,1,28,18,3,,,59
10:18:32,,,9,,13,24,2,2,1,51
10:18:33,3,1,11,,13,20,3,,1,52
10:18:34,1,3,11,,14,19,1,,1,50
10:18:35,3,5,8,1,9,34,5,,,65
10:18:36,,1,9,1,15,19,2,,,47
10:18:37,5,2,4,2,7,21,1,,7,49
10:18:38,3,3,2,5,9,16,5,,1,44
10:18:39,,1,7,1,17,21,2,1,,50
10:18:40,1,1,5,3,7,11,2,,,30
10:18:41,1,1,13,1,14,16,1,,2,49
10:18:42,5,2,5,1,14,18,,1,3,49
10:18:43,1,,7,,14,16,1,1,,40
10:18:44,3,1,7,,12,22,2,,1,48
10:18:45,2,2,10,,23,20,1,1,,59
10:18:46,5,,8,2,17,22,2,,,56
10:18:47,2,,4,1,14,16,1,,,38
10:18:48,2,2,3,1,14,7,2,,,31
10:18:49,1,3,6,1,16,23,1,,,51
10:18:50,1,,11,,13,26,,,,51
10:18:51,1,,7,1,21,24,,,,54
10:18:52,,,4,,20,21,2,1,,48
10:18:53,,,1,,16,28,2,1,,48
10:18:54,2,1,6,1,16,17,2,,,45
